agent,aggregated,anneal_steps,batch_normalization,batch_size,date,decay_freq,discount,double,dueling,env,episodes,err_clip,exploration,exploration_anneal_steps,exploration_min,exploration_q_clip,exploration_start,exploration_temp,exploration_temp_min,filename,final_reward,hidden_activation,hidden_dropout,history_len,idealization,init_mean,init_method,init_std,input_dropout,layer_sizes,loss,lr,lr_decay,lr_init,lr_min,max_reward,memory_size,min_mem_size,multi_steps,n_epochs,n_eps,normalize,optimizer,out_activation,policy,prioritize_replay,priority_exp,priority_shift,q_clip,seed,solve_episode,streams_size,tail_avg,tail_std,target_update_freq,time,weights_init
qlp,173.3802478533564,1300.0,False,32,2018-05-08 13:41:00,1000.0,0.48575420738063757,False,False,pole,,,,150,0.2,,0.2,-1.0,,QLP on CartPole @ 08.05 13.41 [294671764],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,1.0,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,170.84,47.49752146643596,0,6.653481960296631,lecun_uniform
dqnp,115.56785160955333,,False,32,2018-05-11 20:14:00,200.0,0.99,False,False,lander,,,,50,0.01,,1.0,-1.0,,(17) DQNP on LunarLander @ 11.05 20.14 [-9223363284537221895-57481136875574843899],234.67159648415702,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,247.71111789614255,50000,1000,,1,212,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",17,,-1,94.05122086134064,149.42415298689968,0,2003.6565647125244,lecun_uniform
qlp,181.51659173965467,300.0,False,32,2018-05-08 13:38:00,1000.0,1.0,False,False,pole,,,,150,0.1123747844941594,,1.0,-1.0,,QLP on CartPole @ 08.05 13.38 [294743837],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.3353368795749279,0.7933937898368576,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,179.87,33.85908260345331,0,7.840887069702148,lecun_uniform
dqnp,-154.69027300862396,,False,907,2018-05-12 11:43:00,124.0,0.672311263219029,False,False,lander,,,,98,0.18886824023583765,,0.8172008740449126,1.0,,(1) DQNP on LunarLander @ 12.05 11.43 [-9223363271224571532-76320462533036315039],-142.3522425046036,tanh,0,2,0.11191637153087211,,,,0.0,"[128, 64]",mse,,0.27666370043139704,0.01899264001918624,1e-05,-13.627007137468967,177876,1000,,1,100,False,adam,linear,max-boltzmann,,,,"[-2281, 2281]",1,,-1,-163.3240665509239,94.81686005993599,0,1821.3073773384094,lecun_normal
qlp,177.98484838268047,300.0,False,32,2018-05-08 13:35:00,1000.0,0.7515714329072447,False,False,pole,,,,150,0.03348223793109748,,0.6434217139555208,-1.0,,QLP on CartPole @ 08.05 13.35 [294741624],200.0,sigmoid,0,2,0.22426234696063393,0.0,,0.1,0.0,"(384, 192)",mse,,0.2586249898410663,0.2959900907000703,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,175.44,35.95151617319519,0,8.92140793800354,lecun_uniform
dqnp,48.696485396458094,,False,32,2018-05-11 20:14:00,200.0,0.99,False,False,lander,,,,250,0.01,,0.8,-1.0,,(28) DQNP on LunarLander @ 11.05 20.14 [8752363021218-98568564911911570450],147.47556476220632,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,249.69745110137995,50000,1000,,1,253,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",28,,-1,22.639536261608686,153.74246624217358,0,2000.7494263648987,lecun_uniform
dqnp,82.27867253945399,,False,32,2018-05-11 20:14:00,200.0,0.99,False,False,lander,,,,150,0.01,,0.75,-1.0,,(25) DQNP on LunarLander @ 11.05 20.14 [-9223363284491754131-16640225089337674279],202.1688726971724,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,239.28629105127575,50000,1000,,1,201,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",25,,-1,56.45296508188414,143.1501128166255,0,2003.995952129364,lecun_uniform
qlp,28.993812689708818,500.0,False,32,2018-05-08 13:20:00,500.0,0.9,False,False,pole,,,,150,0.05,,1.0,-1.0,,QLP on CartPole @ 08.05 13.20 [24],18.0,sigmoid,0,2,0.75,0.0,,0.1,0.0,"(384, 192)",mse,,0.5,0.25,0.0001,87.0,50000,1000,,1,149,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,25.43,14.786873102911791,0,0.22939324378967285,lecun_uniform
qlp,182.80697194348846,1300.0,False,32,2018-05-08 13:42:00,1000.0,0.6617506574366474,False,False,pole,,,,150,0.001,,1.0,-1.0,,QLP on CartPole @ 08.05 13.42 [-9223372036559969462],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.7248245022470237,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,181.0,29.43028056511548,0,5.290004014968872,lecun_uniform
qlp,170.7735720252324,1300.0,False,32,2018-05-08 13:41:00,1000.0,0.6850827069891491,False,False,pole,,,,150,0.2,,0.2,-1.0,,QLP on CartPole @ 08.05 13.41 [-9223372036562736170],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.6947607514731976,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,167.02,44.9142797476763,0,7.44136381149292,lecun_uniform
