exploration_start,exploration_min,exploration_anneal_steps,exploration_temp,lr_init,lr_decay,decay_freq,idealization,discount,history_len,target_update_freq,batch_size,n_epochs,normalize,input_dropout,batch_normalization,streams_size,loss,hidden_activation,out_activation,weights_init,optimizer,layer_sizes,memory_size,q_clip
0.8390205560888988,0.4921330146876021,43,-1.0,0.03016400135129015,0.7608603110183406,131,0.22513679535710268,1.0,2,3,811,3,False,0.0,True,-1,mse,sigmoid,linear,lecun_uniform,adam,"[32, 64]",114981,"[-4766, 4766]"
0.8416766877618644,0.27987196516002694,240,1.0,0.008463238042132464,0.4117150839566967,169,0.43362604792070025,0.7026997956791623,2,0,344,3,False,0.0,False,-1,mse,sigmoid,softmax,lecun_normal,adam,"[128, 64]",136752,"[-6339, 6339]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
0.6886796854670998,0.3710114014979657,277,1.0,0.03837461571710615,0.9109154777210622,120,0.06047542192600287,0.7745041095454587,2,0,776,1,True,0.0,False,-1,mae,sigmoid,linear,random_uniform,nadam,"[32, 32]",97655,"[-9478, 9478]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[256, 256]",50000,"[-10000, 10000]"
0.7732646058620604,0.30977438007877606,53,-1.0,0.002779002763577687,0.7955005170839381,292,0.24100382764821843,0.7184816803887313,2,33,560,2,False,0.0,False,-1,mse,tanh,softmax,he_uniform,adamax,[32],6472,"[-2684, 2684]"
0.7519004994782355,0.36949669517256195,244,-1.0,0.0015647478921017848,0.35623559596565146,34,0.7011616746998439,0.5499639139812867,2,3,177,3,True,0.75,False,-1,mae,sigmoid,linear,glorot_uniform,adam,"[256, 192]",124920,"[-4762, 4762]"
0.6861725822712607,0.06273051895508042,187,0.5,0.003064271465666835,0.6773526244136678,149,0.3203347893000706,0.9552387020725539,2,18,531,3,False,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,"[128, 64]",22110,"[-6402, 6402]"
0.841679652150315,0.2824803720722302,238,1.0,0.008942021095143996,0.4121273800242301,172,0.442557790419841,0.6978543919904474,2,0,341,3,False,0.0,False,-1,mse,sigmoid,softmax,lecun_normal,adam,"[128, 64]",136567,"[-6273, 6273]"
1.0,0.01,150,-1.0,0.005,0.1,200,0.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
