episode,reward,steps
543,200.0,200
544,145.0,145
545,161.0,161
546,184.0,184
547,200.0,200
548,200.0,200
549,200.0,200
550,200.0,200
551,200.0,200
552,200.0,200
553,200.0,200
554,200.0,200
555,200.0,200
556,200.0,200
557,200.0,200
558,200.0,200
559,200.0,200
560,200.0,200
561,200.0,200
562,200.0,200
563,200.0,200
564,146.0,146
565,200.0,200
566,125.0,125
567,200.0,200
568,146.0,146
569,162.0,162
570,172.0,172
571,200.0,200
572,200.0,200
573,200.0,200
574,200.0,200
575,200.0,200
576,200.0,200
577,183.0,183
578,154.0,154
579,200.0,200
580,119.0,119
581,200.0,200
582,168.0,168
583,188.0,188
584,200.0,200
585,200.0,200
586,200.0,200
587,200.0,200
588,200.0,200
589,188.0,188
590,200.0,200
591,200.0,200
592,200.0,200
593,200.0,200
594,158.0,158
595,200.0,200
596,200.0,200
597,200.0,200
598,200.0,200
599,200.0,200
600,200.0,200
601,200.0,200
602,200.0,200
603,200.0,200
604,200.0,200
605,193.0,193
606,200.0,200
607,200.0,200
608,200.0,200
609,200.0,200
610,200.0,200
611,200.0,200
612,200.0,200
613,185.0,185
614,200.0,200
615,200.0,200
616,200.0,200
617,200.0,200
618,200.0,200
619,200.0,200
620,200.0,200
621,200.0,200
622,125.0,125
623,32.0,32
624,200.0,200
625,200.0,200
626,104.0,104
627,196.0,196
628,200.0,200
629,200.0,200
630,200.0,200
631,200.0,200
632,200.0,200
633,200.0,200
634,142.0,142
635,200.0,200
636,200.0,200
637,200.0,200
638,200.0,200
639,200.0,200
640,200.0,200
641,183.0,183
642,182.0,182
643,200.0,200
644,200.0,200
645,200.0,200
646,200.0,200
647,200.0,200
648,190.0,190
649,200.0,200
650,200.0,200
651,200.0,200
652,151.0,151
653,160.0,160
654,200.0,200
655,200.0,200
656,200.0,200
657,200.0,200
658,200.0,200
659,168.0,168
660,200.0,200
661,200.0,200
662,200.0,200
663,200.0,200
664,200.0,200
665,200.0,200
666,200.0,200
667,200.0,200
668,200.0,200
669,200.0,200
670,200.0,200
671,161.0,161
672,200.0,200
673,200.0,200
674,200.0,200
675,200.0,200
676,120.0,120
677,200.0,200
678,200.0,200
679,200.0,200
680,200.0,200
681,200.0,200
682,200.0,200
683,200.0,200
684,200.0,200
