episode,reward,steps
255,213.55176649279417,322
256,190.21579458464657,325
257,179.2862660231326,317
258,193.107523336805,356
259,161.71279009771712,576
260,214.49085873391027,341
261,213.8793004060854,390
262,209.02057392206524,290
263,180.74924535602838,276
264,194.24904871298585,298
265,234.9291383822291,309
266,173.03598568511234,436
267,248.87638314552314,275
268,168.78460122154993,407
269,205.15775575901455,368
270,212.6076924340013,326
271,220.6148180251996,218
272,217.57010103868728,552
273,191.1217548763379,387
274,211.07578862715442,304
275,198.4728956211086,370
276,166.60638779942266,401
277,228.08337800550436,340
278,194.14214868691835,311
279,163.8931900497074,340
280,221.46518410572324,368
281,197.04435628926686,256
282,-164.72139047207025,286
283,243.07834982656456,280
284,232.87156587646786,377
285,193.4666754473287,268
286,217.40910735269534,275
287,222.8054584623846,366
288,197.68082969201959,212
289,243.69348240266066,283
290,205.935596607286,278
291,212.56742039925734,393
292,150.92927369015393,504
293,223.80610566131625,235
294,206.56948991730724,284
295,173.0905694933032,367
296,220.13506687447844,555
297,162.16895176798477,335
298,203.61362230011287,291
299,211.22561254378675,233
300,214.5414651443192,264
301,205.69802659618205,246
302,231.16289230522972,279
303,261.68153724054014,274
304,215.04884689464131,395
305,223.5862174584896,297
306,49.59140378147555,1000
307,195.68791122002364,279
308,200.69490205366085,260
309,216.62807493203252,476
310,197.1843471998715,314
311,214.25140242321024,308
312,226.2304271132769,196
313,190.68619929558918,262
314,223.26896639367223,377
315,167.72700441555799,537
316,224.70933901505475,393
317,217.86341512254194,295
318,238.5971171534603,341
319,210.08211142811768,284
320,225.4112707237755,302
321,258.8065818277246,287
322,194.9036244213308,303
323,219.7394927786985,231
324,221.83548055770052,260
325,250.2517954574695,330
326,210.18445049040722,231
327,197.7061268847434,246
328,232.27521175783332,308
329,239.8212410317995,244
330,208.61137304022458,305
331,131.3394869840754,596
332,198.72679635811,263
333,206.32428706793888,266
334,220.2259871095115,311
335,230.94347255797467,289
336,239.55380389141064,325
337,220.53263040819297,365
338,245.71802690206164,316
339,159.21399640725312,208
340,191.70382355919384,280
341,177.71321315016618,252
342,207.33859761186642,240
343,224.8773020382158,230
344,171.00916662581068,338
345,205.31001408541803,233
